max,min,mean,median,standard deviation,variance,mode,skewness,range,interquartile range,kurtosis,kurtosis factor,peak to peak value,rms,clearance factor,shape factor,impulse factor,crest factor,sum ,percentile,level,breakdown voltage
1.162513564,-1.112952878,-0.037372004,-0.043939708,0.548952524,0.301348873,0.117441132,-0.006816518,2.275466442,1.003234804,-1.498974919,-2.724303505,2.275466442,0.550223173,2.112803715,1.090999496,2.305067789,2.112803715,-74.74400854,-0.725711631,5,25
1.160236381,-1.123503695,-0.037330073,-0.045862738,0.54887634,0.301265236,0.117846703,-0.007174383,2.283740076,1.003185073,-1.498581105,-2.723978157,2.283740076,0.550144318,2.108967308,1.091025687,2.300937507,2.108967308,-74.66014669,-0.724705959,5,25
1.169278417,-1.125050278,-0.03735818,-0.044785934,0.548758693,0.301136103,0.116772318,-0.007246763,2.294328695,1.0018213,-1.498589332,-2.724564957,2.294328695,0.550028851,2.125849244,1.091031916,2.319369374,2.125849244,-74.71636062,-0.725265976,5,25
1.162842078,-1.118269548,-0.037282639,-0.042559389,0.548872149,0.301260636,0.128067365,-0.007023983,2.281111626,1.002030291,-1.498805987,-2.724423561,2.281111626,0.55013692,2.113732118,1.090991051,2.306062826,2.113732118,-74.56527754,-0.723827509,5,25
1.163163209,-1.122428816,-0.037153533,-0.043207783,0.548766659,0.301144846,0.118643588,-0.007081088,2.285592025,1.000790535,-1.499152623,-2.725618374,2.285592025,0.550022937,2.114754006,1.090943143,2.307076381,2.114754006,-74.30706683,-0.723077623,5,25
1.161223351,-1.120554707,-0.037334374,-0.041717437,0.548863529,0.301251174,0.118477533,-0.007094172,2.281778058,1.002234555,-1.499001961,-2.724805005,2.281778058,0.550131829,2.110809245,1.091023905,2.302943345,2.110809245,-74.66874898,-0.723732183,5,25
1.161552347,-1.120080862,-0.03718522,-0.040373518,0.548829928,0.30121429,0.11875556,-0.007039845,2.281633209,1.001660705,-1.49866901,-2.724415837,2.281633209,0.550088202,2.11157473,1.091023037,2.303776676,2.11157473,-74.37043976,-0.722210303,5,25
1.163049941,-1.116114971,-0.03719722,-0.041105384,0.54892126,0.30131455,0.12017432,-0.007009677,2.279164912,1.001521693,-1.499017686,-2.724594338,2.279164912,0.550180137,2.113943893,1.090990248,2.306292173,2.113943893,-74.39443943,-0.723051707,5,25
1.160106854,-1.119171461,-0.037231206,-0.042143059,0.548771925,0.301150626,0.119194176,-0.00694035,2.279278315,1.000874057,-1.498971557,-2.725237122,2.279278315,0.550033443,2.109156942,1.091035,2.301164044,2.109156942,-74.46241147,-0.722440912,5,25
1.160477734,-1.12321142,-0.037260364,-0.040058324,0.548871827,0.301260283,0.121404694,-0.00744066,2.283689155,1.000657182,-1.498801095,-2.724423731,2.283689155,0.55013509,2.109441399,1.091049605,2.301505205,2.109441399,-74.52072763,-0.722332387,5,25
